timestamp,program,ml_course,ir_course,stats_course,db_course,gender,used_chatgpt,birthday,room_estimate,stress_level,sports_hours,random_number,bedtime,good_day_1,good_day_2,est_age_days,sleep_duration_to_10am,bedtime_sin,bedtime_cos,bedtime_anglenorm
2025-04-01 12:19:00,AI,0.0,0.0,1.0,1.0,female,1.0,2001-04-10,200.0,20.0,8.0,9.0,00:00:00,Good sleep,Friends,8589.0,10.0,0.0,1.0,0.0
2025-04-01 12:19:00,AI,1.0,1.0,1.0,1.0,female,1.0,NaT,300.0,20.0,4.0,87.0,00:00:00,Reading,F1,8178.0,10.0,0.0,1.0,0.0
2025-04-01 12:19:00,AI,1.0,0.0,1.0,nan,female,1.0,2002-05-05,280.0,20.0,7.0,93.0,00:10:00,That I feel content and happy,Doing something ,8376.0,9.833333333333334,0.043619387365336,0.9990482215818578,0.04363323129985824
2025-04-01 12:19:00,AI,1.0,0.0,1.0,0.0,female,1.0,NaT,380.0,50.0,8.0,25.0,00:10:00,"good, sunny weather",spending time with my friends,8623.0,9.833333333333334,0.043619387365336,0.9990482215818578,0.04363323129985824
2025-04-01 12:18:00,AI,0.0,0.0,1.0,1.0,female,1.0,NaT,550.0,50.0,8.0,8.0,00:30:00,Good food,Sun ,8426.0,9.5,0.13052619222005157,0.9914448613738104,0.1308996938995747
2025-04-01 12:19:00,AI,1.0,1.0,1.0,1.0,female,1.0,2002-07-10,500.0,85.0,3.0,15.0,00:30:00,Seeing friends,No academic stress,8221.0,9.5,0.13052619222005157,0.9914448613738104,0.1308996938995747
2025-04-01 12:18:00,AI,1.0,1.0,1.0,1.0,female,nan,NaT,500.0,60.0,6.0,5.0,01:00:00,sun,more sun ,8623.0,9.0,0.25881904510252074,0.9659258262890683,0.2617993877991494
2025-04-01 12:18:00,AI,1.0,0.0,1.0,0.0,female,1.0,NaT,340.0,40.0,9.0,25.0,01:00:00,Friends,Drinks,8623.0,9.0,0.25881904510252074,0.9659258262890683,0.2617993877991494
2025-04-01 12:18:00,AI,1.0,0.0,1.0,0.0,female,1.0,NaT,400.0,35.0,6.0,823.0,01:00:00,Sunshine,Nice food,8623.0,9.0,0.25881904510252074,0.9659258262890683,0.2617993877991494
2025-04-01 12:19:00,AI,1.0,0.0,1.0,1.0,female,1.0,NaT,550.0,20.0,3.0,77.0,01:00:00,Good Breakfast,Sunshine,8623.0,9.0,0.25881904510252074,0.9659258262890683,0.2617993877991494
2025-04-01 12:19:00,AI,1.0,0.0,1.0,1.0,female,1.0,NaT,330.0,40.0,3.0,18.0,01:00:00,Nice weather,Seeing my loved ones ,7871.0,9.0,0.25881904510252074,0.9659258262890683,0.2617993877991494
2025-04-01 12:17:00,AI,1.0,0.0,1.0,1.0,female,1.0,2001-11-12,300.0,3.0,10.0,25.0,01:02:00,dance,company,8521.0,8.966666666666667,0.26723837607825685,0.963630453208623,0.27052603405912107
2025-04-01 12:18:00,AI,1.0,nan,1.0,0.0,female,1.0,2001-03-10,400.0,40.0,10.0,3.0,01:02:00,workout,sun,8590.0,8.966666666666667,0.26723837607825685,0.963630453208623,0.27052603405912107
2025-04-01 12:19:00,AI,1.0,1.0,1.0,1.0,female,1.0,2002-11-08,253.0,55.0,4.0,21.0,01:03:00,Sun ,Laughter ,8278.0,8.95,0.27144044986507426,0.9624552364536473,0.2748893571891069
2025-04-01 12:18:00,AI,1.0,0.0,1.0,1.0,female,1.0,NaT,200.0,30.0,0.0,7.0,01:30:00,My boyfriend,My friends ,8567.0,8.5,0.38268343236508984,0.9238795325112867,0.3926990816987242
2025-04-01 12:18:00,AI,0.0,0.0,1.0,1.0,female,1.0,NaT,150.0,60.0,2.0,42.0,02:00:00,Good meal,Sunny day,9632.0,8.0,0.49999999999999994,0.8660254037844387,0.5235987755982988
2025-04-01 12:19:00,AI,1.0,0.0,1.0,1.0,female,1.0,NaT,450.0,25.0,2.0,25.0,02:00:00,Sunshine,Food,8623.0,8.0,0.49999999999999994,0.8660254037844387,0.5235987755982988
2025-04-01 12:19:00,AI,1.0,nan,1.0,1.0,female,1.0,NaT,100.0,77.0,0.0,137.0,05:00:00,Enough sleep,Good food,8623.0,5.0,0.9659258262890683,0.25881904510252074,1.3089969389957472
2025-04-01 12:17:00,AI,0.0,0.0,1.0,1.0,female,1.0,NaT,500.0,60.0,3.0,888.0,10:37:00,Sun1,Sun2,8837.0,-0.6166666666666667,0.6427876096865393,0.7660444431189781,0.6981317007977317
2025-04-01 12:19:00,AI,1.0,1.0,1.0,1.0,female,1.0,NaT,380.0,23.0,3.0,25.0,12:30:00,Good food,Talking to friends,8623.0,21.5,0.08715574274765785,0.9961946980917455,0.08726646259971615
2025-04-01 12:18:00,AI,1.0,0.0,1.0,0.0,female,1.0,NaT,80.0,80.0,6.0,47.0,22:00:00,Sunny day spent with friends ,going to a rave,8228.0,12.0,-0.5000000000000004,0.8660254037844384,-0.5235987755982994
