timestamp,program,ml_course,ir_course,stats_course,db_course,gender,used_chatgpt,birthday,room_estimate,stress_level,sports_hours,random_number,bedtime,good_day_1,good_day_2,est_age_days,sleep_to_10am,bedtime_sin,bedtime_cos,bedtime_anglenorm,bedtime_angle
2025-04-01 12:19:00,AI,0.0,0.0,1.0,1.0,female,1.0,2001-04-10,200.0,20.0,8.0,9.0,00:00:00,Good sleep,Friends,8589.0,10.0,0.0,1.0,0.0,0.0
2025-04-01 12:19:00,AI,1.0,1.0,1.0,1.0,female,1.0,2000-01-01,300.0,20.0,4.0,87.0,00:00:00,Reading,F1,8178.0,10.0,0.0,1.0,0.0,0.0
2025-04-01 12:19:00,AI,1.0,0.0,1.0,1.0,female,1.0,2002-05-05,280.0,20.0,7.0,93.0,00:10:00,That I feel content and happy,Doing something ,8376.0,9.833333333333334,0.043619387365336,0.9990482215818578,0.04363323129985824,0.04363323129985824
2025-04-01 12:19:00,AI,1.0,0.0,1.0,0.0,female,1.0,2000-01-01,380.0,50.0,8.0,5.666666666666667,00:10:00,"good, sunny weather",spending time with my friends,8865.0,9.833333333333334,0.043619387365336,0.9990482215818578,0.04363323129985824,0.04363323129985824
2025-04-01 12:18:00,AI,0.0,0.0,1.0,1.0,female,1.0,2000-01-01,550.0,50.0,8.0,8.0,00:30:00,Good food,Sun ,8426.0,9.5,0.1305261922200515,0.9914448613738104,0.13089969389957462,0.13089969389957462
2025-04-01 12:19:00,AI,1.0,1.0,1.0,1.0,female,1.0,2002-07-10,500.0,85.0,3.0,15.0,00:30:00,Seeing friends,No academic stress,8221.0,9.5,0.1305261922200515,0.9914448613738104,0.13089969389957462,0.13089969389957462
2025-04-01 12:18:00,AI,1.0,1.0,1.0,1.0,female,1.0,2000-01-01,500.0,60.0,6.0,5.0,01:00:00,sun,more sun ,9114.666666666666,9.0,0.2588190451025207,0.9659258262890683,0.26179938779914935,0.26179938779914935
2025-04-01 12:18:00,AI,1.0,0.0,1.0,0.0,female,1.0,2000-01-01,340.0,40.0,9.0,12.666666666666666,01:00:00,Friends,Drinks,9164.0,9.0,0.2588190451025207,0.9659258262890683,0.26179938779914935,0.26179938779914935
2025-04-01 12:18:00,AI,1.0,0.0,1.0,0.0,female,1.0,2000-01-01,400.0,35.0,6.0,823.0,01:00:00,Sunshine,Nice food,9024.666666666666,9.0,0.2588190451025207,0.9659258262890683,0.26179938779914935,0.26179938779914935
2025-04-01 12:19:00,AI,1.0,0.0,1.0,1.0,female,1.0,2000-01-01,550.0,20.0,3.0,77.0,01:00:00,Good Breakfast,Sunshine,9140.333333333334,9.0,0.2588190451025207,0.9659258262890683,0.26179938779914935,0.26179938779914935
2025-04-01 12:19:00,AI,1.0,0.0,1.0,1.0,female,1.0,2000-01-01,330.0,40.0,3.0,18.0,01:00:00,Nice weather,Seeing my loved ones ,7871.0,9.0,0.2588190451025207,0.9659258262890683,0.26179938779914935,0.26179938779914935
2025-04-01 12:17:00,AI,1.0,0.0,1.0,1.0,female,1.0,2001-11-12,300.0,3.0,10.0,25.0,01:02:00,dance,company,8521.0,8.966666666666667,0.2672383760782568,0.9636304532086231,0.270526034059121,0.270526034059121
2025-04-01 12:18:00,AI,1.0,0.0,1.0,0.0,female,1.0,2001-03-10,400.0,40.0,10.0,3.0,01:02:00,workout,sun,8590.0,8.966666666666667,0.2672383760782568,0.9636304532086231,0.270526034059121,0.270526034059121
2025-04-01 12:19:00,AI,1.0,1.0,1.0,1.0,female,1.0,2002-11-08,253.0,55.0,4.0,21.0,01:03:00,Sun ,Laughter ,8278.0,8.95,0.27144044986507426,0.9624552364536473,0.2748893571891069,0.2748893571891069
2025-04-01 12:18:00,AI,1.0,0.0,1.0,1.0,female,1.0,2000-01-01,200.0,30.0,0.0,7.0,01:30:00,My boyfriend,My friends ,8567.0,8.5,0.3826834323650898,0.9238795325112867,0.39269908169872414,0.39269908169872414
2025-04-01 12:18:00,AI,0.0,0.0,1.0,1.0,female,1.0,2000-01-01,150.0,60.0,2.0,42.0,02:00:00,Good meal,Sunny day,9632.0,8.0,0.49999999999999983,0.8660254037844387,0.5235987755982987,0.5235987755982987
